,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
787,"1bdrm Apartment in Clinton Court Estate, Gudu for sale","Abuja (FCT), Gudu",Gudu,55000000.0,150,1,1,Unfurnished,1,Abuja,366667.0
788,Furnished 2bdrm Apartment in Ikate for sale,"Lekki, Ikate",Ikate,200000000.0,500,2,2,Furnished,1,Lagos,400000.0
789,Furnished 3bdrm Apartment in Victoria Island Extension for sale,"Victoria Island, Victoria Island Extension",Victoria Island Extension,350000000.0,500,3,3,Furnished,1,Lagos,700000.0
790,4bdrm Duplex in Opebi Ikeja for sale,"Lagos State, Ikeja",Ikeja,380000000.0,400,4,5,Unfurnished,1,Lagos,950000.0
791,5bdrm Duplex in Ado / Ajah for sale,"Ajah, Ado / Ajah",Ado / Ajah,380000000.0,350,5,5,Semi-furnished,1,Lagos,1085714.0
792,4bdrm Duplex in Ikota Villa Estate for sale,"Lekki, Ikota",Ikota,200000000.0,350,4,4,Semi-furnished,1,Lagos,571429.0
793,"4bdrm Duplex in Paradise 2, Life Camp for sale","Gwarinpa, Life Camp",Life Camp,170000000.0,300,4,4,Semi-furnished,1,Abuja,566667.0
794,4bdrm Duplex in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,200000000.0,300,4,4,Unfurnished,1,Abuja,666667.0
795,2bdrm House in Mabushi District for sale,"Abuja (FCT), Mabushi",Mabushi,120000000.0,1000,2,3,Semi-furnished,1,Abuja,120000.0
796,Furnished 3bdrm Apartment in Paipe for sale,"Jiwa, Paipe",Paipe,180000000.0,250,3,3,Furnished,1,Abuja,720000.0
797,"2bdrm Apartment in Nuggets Touch, Ikate for sale","Lekki, Ikate",Ikate,190000000.0,300,2,3,Semi-furnished,1,Lagos,633333.0
798,4bdrm Duplex in VGC / Ajah for sale,"Ajah, VGC / Ajah",VGC / Ajah,180000000.0,930,4,4,Semi-furnished,1,Lagos,193548.0
799,2bdrm Apartment in Ajah Ilaje for sale,"Ondo State, Ilaje",Ilaje,50000000.0,150,2,3,Unfurnished,1,Ondo,333333.0
800,"3bdrm Apartment in Ajah, Lagos for sale","Lagos State, Ajah",Ajah,85000000.0,300,3,4,Unfurnished,1,Lagos,283333.0
801,"5bdrm Duplex in Ikota, Lekki, Lagos for sale","Lekki, Ikota",Ikota,420000000.0,450,5,6,Unfurnished,1,Lagos,933333.0
802,Furnished 3bdrm Apartment in Lekki Osapa for sale,"Lekki, Osapa london",Osapa london,320000000.0,200,3,4,Furnished,1,Lagos,1600000.0
